                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2985,                 4.4771,                 1.6762,                0.00074,                   0.05,                0.00042,                  4e-05,                 0.9664,                 3.2405,                 0.5383,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.8601,                 3.6301,                 1.3325,                 0.0072,                   0.75,                0.00677,                0.00327,                0.85042,                 3.0777,                0.49427,             0.00041584,             0.00041584,             0.00041584
                      3,                 2.4481,                 2.5734,                 1.1601,                0.00495,                   0.95,                0.02503,                0.01029,                0.94462,                 2.8508,                0.50473,             0.00062733,             0.00062733,             0.00062733
                      4,                 2.3277,                 2.0018,                 1.1068,                0.00278,                    0.8,                0.15653,                0.10489,                 1.2435,                 2.4135,                0.65176,             0.00083446,             0.00083446,             0.00083446
                      5,                 2.2093,                  1.945,                 1.1242,                0.00397,                   0.85,                0.22878,                0.09615,                 1.1176,                 2.1676,                0.58958,              0.0010372,              0.0010372,              0.0010372
                      6,                 2.0365,                 1.8011,                  1.049,                0.00316,                   0.95,                0.21303,                0.10489,                 1.0477,                 2.0309,                  0.561,              0.0012357,              0.0012357,              0.0012357
                      7,                 2.2981,                 1.9887,                 1.0908,                0.40691,                0.34339,                0.32932,                0.12572,                 1.0802,                 2.4442,                0.60932,              0.0014297,              0.0014297,              0.0014297
                      8,                 2.3029,                 1.8258,                 1.1039,                0.37151,                    0.2,                0.24786,                0.11452,                  1.286,                 1.8938,                0.68584,              0.0016194,              0.0016194,              0.0016194
                      9,                 2.2775,                  1.846,                  1.134,                 0.4083,                    0.3,                0.33369,                0.17564,                 1.1643,                 1.6925,                0.62251,              0.0018048,              0.0018048,              0.0018048
                     10,                 2.2219,                 1.7765,                   1.09,                0.43767,                   0.35,                0.35831,                0.18022,                 1.0815,                 1.4229,                0.56843,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.2014,                 1.8194,                 1.1247,                0.44994,                    0.5,                 0.3954,                0.18736,                 1.0225,                 2.2774,                0.54548,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.2707,                  1.705,                 1.0616,                0.36324,                   0.45,                0.30792,                0.12137,                  1.093,                 1.4252,                0.57134,               0.001802,               0.001802,               0.001802
                     13,                 2.2094,                 1.8212,                 1.0483,                0.25419,                   0.25,                0.17575,                0.06367,                 1.2529,                 1.6052,                0.61403,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.1218,                 1.8369,                 1.0937,                0.44427,                   0.35,                0.29635,                0.15309,                 1.1424,                 1.5092,                 0.5844,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.0729,                 1.6827,                 1.0737,                0.49547,                0.24593,                0.25319,                0.14597,                  1.071,                 2.0114,                0.57368,              0.0017426,              0.0017426,              0.0017426
                     16,                  2.213,                 1.7835,                 1.0948,                      1,                 0.1962,                 0.2766,                0.14226,                 1.1503,                 1.6078,                0.57986,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.0724,                 1.6128,                 1.0615,                0.86615,                   0.25,                0.35865,                0.15956,                 1.1003,                 1.4006,                0.56738,               0.001703,               0.001703,               0.001703
                     18,                 1.9917,                 1.5116,                  1.057,                0.88003,                   0.25,                0.32522,                0.15252,                 1.1637,                 1.3519,                0.55868,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.0118,                 1.3319,                 1.0449,                0.69169,                    0.6,                0.60919,                0.31144,                0.97478,                 1.7717,                0.55588,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.0051,                 1.4822,                 1.0518,                0.74923,                    0.5,                0.53361,                0.26847,                0.99729,                 1.4079,                0.55318,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.0396,                  1.595,                 1.0757,                0.49908,                    0.5,                0.45518,                0.16688,                 1.1469,                 1.1817,                 0.5539,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.9515,                 1.8372,                0.99202,                0.60283,                    0.6,                0.53002,                0.23647,                 1.0381,                 1.0226,                0.53094,               0.001604,               0.001604,               0.001604
                     23,                 2.1084,                 1.5301,                 1.0515,                0.46148,                   0.55,                0.47057,                0.23699,                 1.1319,                 1.0039,                0.58834,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.9844,                 1.5187,                 1.0354,                0.80479,                   0.25,                0.33329,                0.12943,                 1.5974,                 1.4483,                0.77059,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.8654,                  1.496,                 0.9855,                 0.8481,                  0.281,                0.34931,                 0.1505,                 1.3379,                 1.3243,                0.66464,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.8965,                 1.3794,                 1.0361,                0.69409,                0.68127,                 0.6397,                 0.2883,                 1.0788,                 0.9137,                0.57199,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.8889,                 1.4238,                 1.0382,                0.67445,                    0.6,                0.61284,                0.33623,                0.87937,                0.84971,                 0.5271,               0.001505,               0.001505,               0.001505
                     28,                 1.9052,                 1.4893,                0.98909,                0.46159,                    0.5,                0.52221,                0.16112,                0.98826,                0.95491,                0.52018,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.9262,                 1.4381,                 1.0238,                0.73658,                   0.55,                 0.6004,                0.21968,                0.96759,                0.96951,                0.51084,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.0503,                 1.4721,                 1.0222,                0.55647,                    0.4,                0.41013,                0.21785,                0.95181,                 1.3434,                0.52488,              0.0014456,              0.0014456,              0.0014456
                     31,                  1.841,                 1.3854,                0.99901,                0.71688,                   0.55,                0.60092,                0.27581,                 1.0271,                0.94268,                0.52759,              0.0014258,              0.0014258,              0.0014258
                     32,                  1.829,                 1.3239,                 1.0201,                0.71699,                    0.7,                0.73893,                0.38433,                0.90223,                0.78917,                0.51358,               0.001406,               0.001406,               0.001406
                     33,                 2.0127,                 1.4158,                 1.0134,                0.84268,                0.53646,                0.68651,                0.39471,                0.87272,                0.85757,                0.51342,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.7344,                 1.2515,                0.97291,                0.66831,                   0.55,                0.59292,                0.30524,                0.98895,                0.89838,                0.53865,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.8402,                 1.2272,                0.99434,                0.85998,                    0.5,                0.65582,                0.31667,                0.90905,                0.83488,                0.50966,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.8172,                  1.322,                  1.012,                0.84205,                0.53398,                0.66594,                0.32074,                0.88952,                0.73917,                0.50245,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.7161,                   1.12,                0.96404,                0.96457,                    0.5,                0.67454,                0.21903,                 1.0279,                 0.7162,                0.52648,               0.001307,               0.001307,               0.001307
                     38,                 1.9675,                 1.3542,                 1.0515,                0.68791,                    0.6,                0.62282,                0.19873,                 1.1262,                0.79949,                0.55345,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.7546,                 1.2465,                 1.0144,                0.85801,                   0.65,                0.71506,                0.35514,                0.93375,                0.80838,                0.52337,              0.0012674,              0.0012674,              0.0012674
                     40,                   1.74,                 1.1905,                0.98742,                0.73246,                 0.5477,                0.59711,                0.18698,                 1.1357,                 1.0997,                0.54393,              0.0012476,              0.0012476,              0.0012476
                     41,                  1.706,                 1.1775,                0.96967,                0.74995,                   0.55,                0.61965,                0.27153,                0.96329,                0.84611,                0.50914,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.7183,                 1.2287,                0.96932,                0.74365,                    0.6,                0.56798,                0.22796,                 1.0058,                0.78632,                0.51351,               0.001208,               0.001208,               0.001208
                     43,                 1.6129,                 1.2308,                 0.9808,                0.64985,                    0.3,                0.36799,                0.11644,                  1.168,                 0.9566,                0.54627,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.8046,                 1.1894,                 1.0388,                0.28226,                   0.45,                 0.3274,                0.09637,                 1.2741,                0.95107,                0.56286,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.8057,                 1.2727,                0.99288,                0.72665,                0.53247,                0.61784,                 0.3245,                0.88774,                0.93181,                0.50262,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6726,                 1.1774,                0.94151,                0.85883,                0.30473,                0.35197,                0.19393,                 1.3672,                  1.382,                0.67104,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.8307,                 1.2049,                 1.0261,                 0.8211,                  0.689,                0.69978,                0.35864,                 1.0018,                0.82176,                0.55071,               0.001109,               0.001109,               0.001109
                     48,                 1.7027,                 1.0923,                0.97339,                0.81533,                   0.65,                0.67015,                0.20719,                 1.0688,                0.86381,                0.52977,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.6304,                 1.1787,                0.94286,                0.65627,                    0.5,                0.46464,                0.11719,                 1.2326,                 1.1069,                0.56874,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.7055,                 1.1672,                0.96078,                0.72374,                0.65518,                0.71252,                0.22162,                0.99904,                 1.0007,                 0.5173,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.6519,                 1.1894,                0.97235,                0.93166,                0.68246,                0.69695,                0.25709,                 0.9728,                0.89124,                0.51806,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.6221,                 1.0906,                0.97663,                0.93134,                0.67911,                0.76005,                0.30861,                0.90272,                0.84434,                0.50502,                0.00101,                0.00101,                0.00101
                     53,                 1.4872,                 1.0461,                 0.9469,                0.88021,                0.73542,                0.74517,                  0.369,                0.93708,                0.95257,                0.50636,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6687,                  1.133,                0.95284,                 0.6678,                   0.75,                0.67007,                0.30687,                0.98642,                0.88507,                0.52289,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.6226,                 1.0482,                0.99395,                0.78767,                0.74228,                0.67367,                0.25882,                 1.0404,                0.98188,                0.53199,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.6099,                  1.109,                0.97968,                0.60255,                   0.55,                 0.5416,                0.16801,                 1.2305,                 1.3949,                0.56085,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.6456,                 1.0725,                0.97735,                 0.6048,                   0.55,                0.48409,                0.15605,                   1.21,                 1.3796,                0.55995,               0.000911,               0.000911,               0.000911
                     58,                 1.6702,                 1.0301,                0.97005,                 0.5209,                   0.35,                0.30101,                0.06739,                 1.5021,                 1.6196,                0.62353,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.6603,                 1.0543,                 0.9417,                0.65997,                   0.65,                  0.642,                0.27424,                0.96997,                  1.173,                0.51427,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.6162,                  1.149,                0.96916,                0.60531,                    0.6,                0.49458,                0.25042,                0.93377,                0.80742,                0.51828,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.758,                 1.3021,                0.96826,                0.58708,                    0.6,                0.48411,                0.23349,                0.97031,                0.80628,                0.52919,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.8006,                 1.0719,                0.99583,                 0.6839,                    0.6,                0.51632,                0.23632,                0.99841,                0.78353,                0.52784,               0.000812,               0.000812,               0.000812
                     63,                  1.746,                 1.1276,                0.97333,                0.57188,                   0.55,                0.52503,                0.15783,                 1.1199,                0.84157,                0.54107,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.8138,                 1.1889,                 1.0111,                0.78104,                   0.75,                0.73903,                0.35978,                0.89569,                0.73852,                0.49267,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.5986,                 1.0104,                0.93409,                0.76527,                   0.65,                0.73349,                0.36738,                0.87087,                0.74791,                0.49061,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.5948,                 1.0739,                0.93795,                 0.8652,                0.64231,                0.69198,                0.27481,                 1.0776,                0.73728,                0.52436,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.5722,                 1.0604,                0.94499,                0.81757,                  0.673,                0.71602,                0.31166,                 1.0043,                0.71464,                0.50977,               0.000713,               0.000713,               0.000713
                     68,                 1.5746,                 1.0029,                0.95968,                0.75456,                    0.7,                0.73525,                0.37933,                 0.8371,                0.68674,                0.48668,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4971,                0.97517,                0.94477,                0.80206,                    0.7,                0.77321,                0.40739,                0.82209,                0.66279,                0.48496,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.6569,                 1.0277,                0.92068,                0.82336,                0.69922,                0.76649,                0.37282,                0.88644,                0.67156,                0.49742,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.5507,                 1.0714,                0.94602,                0.82083,                    0.7,                0.71905,                  0.313,                 0.9591,                0.68752,                0.50573,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.5635,                0.98333,                0.92226,                0.76048,                    0.7,                0.73213,                0.39007,                0.81833,                0.67809,                0.49974,               0.000614,               0.000614,               0.000614
                     73,                 1.6077,                0.94662,                0.94483,                0.77777,                   0.65,                0.72766,                0.38807,                0.84434,                0.66355,                0.49781,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.6322,                 1.1019,                0.98128,                0.69221,                    0.7,                0.70338,                0.31514,                 0.9742,                0.65295,                 0.5043,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.4824,                 1.0262,                0.93904,                0.72721,                    0.7,                0.63874,                0.15629,                 1.1749,                0.76893,                0.55451,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.5451,                 1.1124,                0.93184,                0.77286,                   0.65,                0.55414,                0.15715,                 1.1531,                0.74599,                 0.5476,              0.0005348,              0.0005348,              0.0005348
                     77,                  1.365,                0.85487,                0.88887,                0.81233,                    0.7,                0.67409,                0.19608,                 1.0614,                0.74068,                0.52935,               0.000515,               0.000515,               0.000515
                     78,                 1.5123,                0.99968,                0.91124,                0.81663,                   0.65,                0.75362,                0.34622,                0.89113,                0.68176,                0.49852,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.4388,                0.96799,                0.90427,                0.89992,                   0.65,                0.75781,                0.34838,                0.91941,                0.77222,                0.50242,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.5188,                 1.0396,                0.94661,                0.82771,                   0.75,                0.76716,                0.37428,                0.91041,                0.88507,                0.49989,              0.0004556,              0.0004556,              0.0004556
                     81,                  1.405,                0.90121,                0.88872,                0.87229,                   0.75,                0.75415,                0.38602,                0.90591,                 0.9127,                 0.5036,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.4515,                0.97644,                0.92512,                0.78176,                    0.7,                0.73817,                0.37867,                0.87025,                0.93108,                0.49698,               0.000416,               0.000416,               0.000416
                     83,                 1.5184,                 1.0289,                 0.9333,                0.79758,                   0.55,                0.66866,                0.26827,                 1.0085,                0.90401,                0.51658,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.3437,                0.86405,                0.89915,                0.62088,                0.57386,                0.55615,                0.16272,                 1.1832,                0.86206,                0.55045,              0.0003764,              0.0003764,              0.0003764
                     85,                  1.316,                0.91007,                0.89186,                0.60619,                    0.6,                0.53021,                0.15741,                 1.2216,                0.84051,                0.56118,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.4031,                0.88909,                0.92107,                0.66136,                0.68408,                0.58875,                0.18065,                 1.1723,                 0.7839,                0.55172,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.4073,                0.91522,                0.90708,                0.86838,                0.66026,                0.69859,                0.31005,                0.97332,                 0.6858,                0.51368,               0.000317,               0.000317,               0.000317
                     88,                 1.4711,                0.88584,                 0.9406,                0.84509,                    0.7,                0.68184,                0.30008,                0.97483,                0.65222,                0.51392,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.2928,                0.99447,                0.90858,                0.79687,                   0.65,                 0.6156,                0.29685,                 0.9851,                0.64995,                0.51712,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.4049,                0.89865,                0.88883,                0.72075,                   0.65,                 0.6192,                0.27802,                 1.0028,                0.65701,                0.51779,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.3724,                0.86697,                0.92086,                0.74963,                 0.5989,                0.57318,                0.23505,                 1.0699,                0.70703,                0.52975,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.4195,                0.90377,                0.96062,                 0.6326,                    0.6,                0.59676,                0.26024,                 1.0309,                0.72019,                0.52254,               0.000218,               0.000218,               0.000218
                     93,                 1.3143,                0.84396,                0.91346,                0.68314,                   0.65,                0.63523,                0.27056,                0.99809,                0.72747,                0.51724,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.3304,                0.89139,                0.93581,                0.76287,                   0.65,                0.62827,                0.27369,                 0.9774,                0.70704,                0.51535,              0.0001784,              0.0001784,              0.0001784
                     95,                  1.322,                0.92067,                0.96004,                0.73175,                   0.65,                0.64619,                0.30867,                0.93231,                0.68569,                0.50956,              0.0001586,              0.0001586,              0.0001586
                     96,                  1.317,                0.81361,                0.97442,                0.70465,                   0.65,                0.65016,                 0.3333,                0.88595,                0.66075,                0.50172,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.3288,                0.82725,                  0.941,                0.70645,                   0.65,                0.65768,                0.34543,                0.88541,                0.66806,                0.50136,               0.000119,               0.000119,               0.000119
                     98,                 1.3467,                0.84982,                0.91767,                0.70731,                   0.65,                0.68014,                0.34643,                0.90826,                0.69541,                0.50476,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.3411,                0.85555,                0.91748,                0.70284,                   0.65,                0.68225,                0.31619,                0.92081,                0.71303,                0.50672,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.2698,                 0.7923,                0.89419,                0.70278,                   0.65,                0.68106,                0.33381,                0.92793,                0.72368,                 0.5068,               5.96e-05,               5.96e-05,               5.96e-05
